,APM,Tcell,IFNgamma,PDL1
TCGA-FD-A3B4,1.735669836,-0.106465793,3.11343476,2.019934238
TCGA-FD-A3B5,1.66052711,-0.529785017,2.038363558,1.669527932
TCGA-FD-A3B6,1.737470455,0.160613962,3.33779958,2.959953883
TCGA-FD-A3B7,1.719074859,0.695300568,3.456487865,2.362259993
TCGA-FD-A3B8,1.747157018,1.026612076,3.75757545,2.299703373
TCGA-FD-A3N5,1.736487073,-0.006816873,2.950891193,2.283866348
TCGA-FD-A3N6,1.711154236,0.049861306,3.193075965,1.901856469
TCGA-FD-A3NA,1.686342506,-0.368402588,2.785784493,1.418561459
TCGA-FD-A3SJ,1.421321919,-0.700928813,2.221610259,0.633276516
TCGA-FD-A3SL,1.567017462,-0.331475884,2.85355653,1.400991905
TCGA-FD-A3SM,1.518867292,-0.33627765,2.135279532,0.999621999
TCGA-FD-A3SN,1.695865832,-0.646017466,2.773654768,1.93374637
TCGA-FD-A3SO,1.723974709,0.086331063,2.89190611,2.029793526
TCGA-FD-A3SP,1.723552712,0.32499352,3.080960087,2.157930999
TCGA-FD-A3SQ,1.669839311,-0.034356118,2.350729189,1.360387008
TCGA-FD-A3SR,1.723961303,-0.226018676,2.820530139,1.509652718
TCGA-FD-A3SS,1.54384196,-0.431811247,1.88811276,1.786307676
TCGA-FD-A43N,1.627697751,-0.427087932,2.376413228,1.416966522
TCGA-FD-A43P,1.722275999,0.590355943,3.418857428,1.967489006
TCGA-FD-A43S,1.629242052,0.46335476,2.53679618,0.911360055
TCGA-FD-A43U,1.624554375,-0.010053675,2.768951911,1.110650305
TCGA-FD-A43X,1.503691083,-0.860112456,1.294919057,0.725535952
TCGA-FD-A43Y,1.720492427,-0.261798894,3.166496604,1.769755323
TCGA-FD-A5BR,1.635679324,-0.009414047,2.296927012,1.172646709
TCGA-FD-A5BS,1.742819437,1.479772507,3.972211099,2.37034652
TCGA-FD-A5BT,1.724463103,0.30605687,3.229729445,2.023503496
TCGA-FD-A5BU,1.719379371,-0.056833343,2.642412294,2.165674548
TCGA-FD-A5BV,1.483792098,-0.471460019,1.554475227,0.944280283
TCGA-FD-A5BX,1.675774772,-0.462294417,2.407042727,1.207677445
TCGA-FD-A5BY,1.65480252,-0.75796584,2.595155578,1.621042232
TCGA-FD-A5BZ,1.584988433,-0.324537674,2.192185045,1.104131883
TCGA-FD-A5C0,1.44099969,-0.003108726,1.956653157,0.917032622
TCGA-FD-A5C1,1.752497342,0.292745814,3.686221059,2.066098467
TCGA-FD-A62N,1.746804307,1.439821102,4.089015841,2.425168894
TCGA-FD-A62O,1.418325388,-0.43217054,1.59701813,0.831300149
TCGA-FD-A62P,1.671097565,-0.43954972,2.990931674,1.197115081
TCGA-FD-A62S,1.703760235,0.221805355,2.841819174,1.469867651
TCGA-FD-A6TA,1.66895835,-0.105960574,2.762377397,1.477532192
TCGA-FD-A6TB,1.707598807,0.362017638,3.106884842,1.390196532
TCGA-FD-A6TC,1.595310822,-0.372436845,1.831252228,1.260061843
TCGA-FD-A6TD,1.735005852,-0.158650204,3.078564204,2.13208991
TCGA-FD-A6TE,1.713037109,-0.106850544,2.778011014,1.808932396
TCGA-FD-A6TF,1.569526195,-0.400651421,2.345929383,2.241745653
TCGA-FD-A6TG,1.495752399,-0.382378508,2.47778715,1.213942547
TCGA-FD-A6TH,1.668496534,-0.63273238,2.431899917,2.582554225
TCGA-FD-A6TI,1.554483459,-0.644205484,2.133850913,1.054704959
TCGA-FD-A6TK,1.74624077,0.401428612,3.371685416,2.449813055
TCGA-FJ-A3Z7,1.580163272,-0.170148021,2.206992477,2.283701409
TCGA-FJ-A3Z9,1.441185996,-0.759121609,1.540897396,1.039422051
TCGA-FJ-A3ZE,1.363480042,-0.589593368,1.437736486,0.412628521
TCGA-FJ-A3ZF,1.374763131,-0.789387517,1.692793792,1.116760451
TCGA-FJ-A871,1.592734784,-0.741748388,1.538650377,1.581666405
TCGA-FT-A3EE,1.559174851,-0.583488178,1.672097441,2.174373852
TCGA-FT-A61P,1.75610734,0.012335949,3.512194297,2.498452538
TCGA-G2-A2EC,1.581099763,0.228551355,2.314100936,1.034748743
TCGA-G2-A2EF,1.72746728,0.233313916,3.345047749,2.818017937
TCGA-G2-A2EJ,1.733080721,-0.247422626,2.93897257,2.399673721
TCGA-G2-A2EK,1.492723056,0.070886811,1.991009673,0.82086455
TCGA-G2-A2EL,1.529746147,-0.164116291,1.986413463,1.141016831
TCGA-G2-A2EO,1.56483746,-0.009909412,3.06212718,1.343296313
TCGA-G2-A2ES,1.724090461,-0.128396933,3.457086507,2.088610894
TCGA-G2-A3IB,1.693967113,-0.604806778,2.229007298,1.237121302
TCGA-G2-A3IE,1.470338121,-0.517563619,1.501860785,1.095476214
TCGA-G2-A3VY,1.385959396,-0.859101432,1.643129159,1.02442409
TCGA-G2-AA3B,1.692771333,-0.748793854,2.752206395,1.024428196
TCGA-G2-AA3C,1.680322122,-0.41634458,2.214651921,1.205458801
TCGA-G2-AA3D,1.65241878,-0.553493092,1.723413306,0.90580667
TCGA-G2-AA3F,1.399107546,-0.691532143,2.050371749,0.817201653
TCGA-GC-A3BM,1.676727927,-0.294182894,2.667207587,1.420704797
TCGA-GC-A3I6,1.736951678,0.224597072,3.197257023,2.177715375
TCGA-GC-A3OO,1.601913456,-0.27323666,2.202415017,1.247354508
TCGA-GC-A3RB,1.633716255,-0.241333119,2.23050949,1.018504939
TCGA-GC-A3RC,1.750221475,0.281785487,3.190482665,2.079271715
TCGA-GC-A3RD,1.551153709,-0.770549548,1.801772542,0.535534625
TCGA-GC-A3WC,1.748736544,0.15101635,3.487272203,2.684644319
TCGA-GC-A3YS,1.694374383,-0.095068095,2.367812923,1.716253826
TCGA-GC-A4ZW,1.665206344,-0.178067654,2.247759699,2.302666371
TCGA-GC-A6I1,1.738767998,0.201398777,3.371876653,1.868806607
TCGA-GC-A6I3,1.696247056,-0.369691771,2.802147923,1.298119176
TCGA-GD-A2C5,1.641615263,-0.502309318,1.711620285,1.305226653
TCGA-GD-A3OP,1.540098361,-0.053507091,2.410607583,1.325174826
TCGA-GD-A3OQ,1.657961392,-0.325062221,2.377658244,1.696706654
